----------pretrain Epoch 0:----------
VAE iteration 0 	 ELBO Loss 2.2955 	 MSE Reconstruct Loss 1.2715	 BCE Reconstruct Loss 1.0105	 KL Loss 3.9919----------pretrain Epoch 1:----------
VAE iteration 0 	 ELBO Loss 1.3253 	 MSE Reconstruct Loss 0.6999	 BCE Reconstruct Loss 0.6149	 KL Loss 3.0718----------pretrain Epoch 2:----------
VAE iteration 0 	 ELBO Loss 1.3215 	 MSE Reconstruct Loss 0.7009	 BCE Reconstruct Loss 0.6127	 KL Loss 2.2799----------pretrain Epoch 3:----------
VAE iteration 0 	 ELBO Loss 1.3178 	 MSE Reconstruct Loss 0.6981	 BCE Reconstruct Loss 0.6121	 KL Loss 2.1747----------pretrain Epoch 4:----------
VAE iteration 0 	 ELBO Loss 1.3159 	 MSE Reconstruct Loss 0.6969	 BCE Reconstruct Loss 0.6114	 KL Loss 2.1422----------pretrain Epoch 5:----------
VAE iteration 0 	 ELBO Loss 1.3117 	 MSE Reconstruct Loss 0.6938	 BCE Reconstruct Loss 0.6109	 KL Loss 1.9435----------pretrain Epoch 6:----------
VAE iteration 0 	 ELBO Loss 1.3096 	 MSE Reconstruct Loss 0.6937	 BCE Reconstruct Loss 0.6103	 KL Loss 1.5596----------pretrain Epoch 7:----------
VAE iteration 0 	 ELBO Loss 1.3084 	 MSE Reconstruct Loss 0.6929	 BCE Reconstruct Loss 0.6099	 KL Loss 1.5373----------pretrain Epoch 8:----------
VAE iteration 0 	 ELBO Loss 1.3075 	 MSE Reconstruct Loss 0.6926	 BCE Reconstruct Loss 0.6095	 KL Loss 1.4436----------pretrain Epoch 9:----------
VAE iteration 0 	 ELBO Loss 1.3067 	 MSE Reconstruct Loss 0.6921	 BCE Reconstruct Loss 0.6092	 KL Loss 1.4210----------pretrain Epoch 10:----------
VAE iteration 0 	 ELBO Loss 1.3071 	 MSE Reconstruct Loss 0.6928	 BCE Reconstruct Loss 0.6090	 KL Loss 1.3923----------pretrain Epoch 11:----------
VAE iteration 0 	 ELBO Loss 1.3065 	 MSE Reconstruct Loss 0.6920	 BCE Reconstruct Loss 0.6088	 KL Loss 1.4728----------pretrain Epoch 12:----------
VAE iteration 0 	 ELBO Loss 1.3064 	 MSE Reconstruct Loss 0.6924	 BCE Reconstruct Loss 0.6085	 KL Loss 1.4002----------pretrain Epoch 13:----------
VAE iteration 0 	 ELBO Loss 1.3057 	 MSE Reconstruct Loss 0.6922	 BCE Reconstruct Loss 0.6078	 KL Loss 1.4332----------pretrain Epoch 14:----------
VAE iteration 0 	 ELBO Loss 1.3049 	 MSE Reconstruct Loss 0.6922	 BCE Reconstruct Loss 0.6065	 KL Loss 1.5362----------pretrain Epoch 15:----------
VAE iteration 0 	 ELBO Loss 1.3039 	 MSE Reconstruct Loss 0.6918	 BCE Reconstruct Loss 0.6052	 KL Loss 1.6856----------pretrain Epoch 16:----------
VAE iteration 0 	 ELBO Loss 1.3033 	 MSE Reconstruct Loss 0.6924	 BCE Reconstruct Loss 0.6038	 KL Loss 1.7202----------pretrain Epoch 17:----------
VAE iteration 0 	 ELBO Loss 1.3031 	 MSE Reconstruct Loss 0.6926	 BCE Reconstruct Loss 0.6034	 KL Loss 1.6964----------pretrain Epoch 18:----------
VAE iteration 0 	 ELBO Loss 1.3018 	 MSE Reconstruct Loss 0.6918	 BCE Reconstruct Loss 0.6032	 KL Loss 1.6411----------pretrain Epoch 19:----------
VAE iteration 0 	 ELBO Loss 1.3012 	 MSE Reconstruct Loss 0.6919	 BCE Reconstruct Loss 0.6023	 KL Loss 1.6365----------pretrain Epoch 20:----------
VAE iteration 0 	 ELBO Loss 1.3003 	 MSE Reconstruct Loss 0.6919	 BCE Reconstruct Loss 0.6012	 KL Loss 1.6498----------pretrain Epoch 21:----------
VAE iteration 0 	 ELBO Loss 1.3003 	 MSE Reconstruct Loss 0.6921	 BCE Reconstruct Loss 0.6008	 KL Loss 1.6916----------pretrain Epoch 22:----------
VAE iteration 0 	 ELBO Loss 1.2994 	 MSE Reconstruct Loss 0.6916	 BCE Reconstruct Loss 0.6004	 KL Loss 1.6729----------pretrain Epoch 23:----------
VAE iteration 0 	 ELBO Loss 1.2994 	 MSE Reconstruct Loss 0.6918	 BCE Reconstruct Loss 0.6004	 KL Loss 1.5974----------pretrain Epoch 24:----------
VAE iteration 0 	 ELBO Loss 1.2992 	 MSE Reconstruct Loss 0.6917	 BCE Reconstruct Loss 0.6001	 KL Loss 1.6274----------pretrain Epoch 25:----------
VAE iteration 0 	 ELBO Loss 1.2995 	 MSE Reconstruct Loss 0.6919	 BCE Reconstruct Loss 0.6003	 KL Loss 1.5927----------pretrain Epoch 26:----------
