----------pretrain Epoch 0:----------
VAE iteration 0 	 ELBO Loss 11.5140 	 MSE Reconstruct Loss 7.6903	 BCE Reconstruct Loss 3.7941	 KL Loss 8.7661----------pretrain Epoch 1:----------
VAE iteration 0 	 ELBO Loss 6.8030 	 MSE Reconstruct Loss 3.9928	 BCE Reconstruct Loss 2.6912	 KL Loss 34.8781----------pretrain Epoch 2:----------
VAE iteration 0 	 ELBO Loss 6.5012 	 MSE Reconstruct Loss 3.8428	 BCE Reconstruct Loss 2.5549	 KL Loss 29.9534----------pretrain Epoch 3:----------
VAE iteration 0 	 ELBO Loss 6.4019 	 MSE Reconstruct Loss 3.7991	 BCE Reconstruct Loss 2.5081	 KL Loss 27.0667----------pretrain Epoch 4:----------
VAE iteration 0 	 ELBO Loss 6.3407 	 MSE Reconstruct Loss 3.7780	 BCE Reconstruct Loss 2.4759	 KL Loss 24.5176----------pretrain Epoch 5:----------
VAE iteration 0 	 ELBO Loss 6.2934 	 MSE Reconstruct Loss 3.7639	 BCE Reconstruct Loss 2.4500	 KL Loss 22.1726----------pretrain Epoch 6:----------
VAE iteration 0 	 ELBO Loss 6.2565 	 MSE Reconstruct Loss 3.7541	 BCE Reconstruct Loss 2.4290	 KL Loss 20.1983----------pretrain Epoch 7:----------
VAE iteration 0 	 ELBO Loss 6.2304 	 MSE Reconstruct Loss 3.7473	 BCE Reconstruct Loss 2.4147	 KL Loss 18.6082----------pretrain Epoch 8:----------
VAE iteration 0 	 ELBO Loss 6.2111 	 MSE Reconstruct Loss 3.7423	 BCE Reconstruct Loss 2.4030	 KL Loss 17.6721----------pretrain Epoch 9:----------
VAE iteration 0 	 ELBO Loss 6.1969 	 MSE Reconstruct Loss 3.7389	 BCE Reconstruct Loss 2.3936	 KL Loss 17.1165----------pretrain Epoch 10:----------
VAE iteration 0 	 ELBO Loss 6.1861 	 MSE Reconstruct Loss 3.7363	 BCE Reconstruct Loss 2.3856	 KL Loss 16.8215----------pretrain Epoch 11:----------
VAE iteration 0 	 ELBO Loss 6.1758 	 MSE Reconstruct Loss 3.7343	 BCE Reconstruct Loss 2.3770	 KL Loss 16.6985----------pretrain Epoch 12:----------
VAE iteration 0 	 ELBO Loss 6.1627 	 MSE Reconstruct Loss 3.7327	 BCE Reconstruct Loss 2.3642	 KL Loss 16.8489----------pretrain Epoch 13:----------
VAE iteration 0 	 ELBO Loss 6.1531 	 MSE Reconstruct Loss 3.7307	 BCE Reconstruct Loss 2.3569	 KL Loss 16.5349----------pretrain Epoch 14:----------
VAE iteration 0 	 ELBO Loss 6.1476 	 MSE Reconstruct Loss 3.7291	 BCE Reconstruct Loss 2.3534	 KL Loss 16.2435----------pretrain Epoch 15:----------
VAE iteration 0 	 ELBO Loss 6.1437 	 MSE Reconstruct Loss 3.7280	 BCE Reconstruct Loss 2.3507	 KL Loss 16.0161----------pretrain Epoch 16:----------
VAE iteration 0 	 ELBO Loss 6.1402 	 MSE Reconstruct Loss 3.7267	 BCE Reconstruct Loss 2.3483	 KL Loss 15.8938----------pretrain Epoch 17:----------
VAE iteration 0 	 ELBO Loss 6.1372 	 MSE Reconstruct Loss 3.7255	 BCE Reconstruct Loss 2.3461	 KL Loss 15.7695----------pretrain Epoch 18:----------
VAE iteration 0 	 ELBO Loss 6.1351 	 MSE Reconstruct Loss 3.7250	 BCE Reconstruct Loss 2.3444	 KL Loss 15.6255----------pretrain Epoch 19:----------
VAE iteration 0 	 ELBO Loss 6.1329 	 MSE Reconstruct Loss 3.7241	 BCE Reconstruct Loss 2.3429	 KL Loss 15.4808----------pretrain Epoch 20:----------
VAE iteration 0 	 ELBO Loss 6.1311 	 MSE Reconstruct Loss 3.7233	 BCE Reconstruct Loss 2.3414	 KL Loss 15.3856----------pretrain Epoch 21:----------
VAE iteration 0 	 ELBO Loss 6.1297 	 MSE Reconstruct Loss 3.7226	 BCE Reconstruct Loss 2.3405	 KL Loss 15.2529----------pretrain Epoch 22:----------
VAE iteration 0 	 ELBO Loss 6.1287 	 MSE Reconstruct Loss 3.7222	 BCE Reconstruct Loss 2.3398	 KL Loss 15.1182----------pretrain Epoch 23:----------
VAE iteration 0 	 ELBO Loss 6.1277 	 MSE Reconstruct Loss 3.7218	 BCE Reconstruct Loss 2.3390	 KL Loss 14.9461----------pretrain Epoch 24:----------
VAE iteration 0 	 ELBO Loss 6.1268 	 MSE Reconstruct Loss 3.7214	 BCE Reconstruct Loss 2.3385	 KL Loss 14.7924----------pretrain Epoch 25:----------
VAE iteration 0 	 ELBO Loss 6.1257 	 MSE Reconstruct Loss 3.7208	 BCE Reconstruct Loss 2.3373	 KL Loss 14.7284----------pretrain Epoch 26:----------
VAE iteration 0 	 ELBO Loss 6.1253 	 MSE Reconstruct Loss 3.7208	 BCE Reconstruct Loss 2.3367	 KL Loss 14.6172----------pretrain Epoch 27:----------
VAE iteration 0 	 ELBO Loss 6.1249 	 MSE Reconstruct Loss 3.7204	 BCE Reconstruct Loss 2.3364	 KL Loss 14.5089----------pretrain Epoch 28:----------
VAE iteration 0 	 ELBO Loss 6.1245 	 MSE Reconstruct Loss 3.7203	 BCE Reconstruct Loss 2.3357	 KL Loss 14.4094----------pretrain Epoch 29:----------
VAE iteration 0 	 ELBO Loss 6.1243 	 MSE Reconstruct Loss 3.7201	 BCE Reconstruct Loss 2.3355	 KL Loss 14.2940----------pretrain Epoch 30:----------
VAE iteration 0 	 ELBO Loss 6.1241 	 MSE Reconstruct Loss 3.7200	 BCE Reconstruct Loss 2.3352	 KL Loss 14.1446----------pretrain Epoch 31:----------
VAE iteration 0 	 ELBO Loss 6.1242 	 MSE Reconstruct Loss 3.7198	 BCE Reconstruct Loss 2.3351	 KL Loss 14.0618----------pretrain Epoch 32:----------
VAE iteration 0 	 ELBO Loss 6.1238 	 MSE Reconstruct Loss 3.7194	 BCE Reconstruct Loss 2.3344	 KL Loss 14.0346----------pretrain Epoch 33:----------
VAE iteration 0 	 ELBO Loss 6.1234 	 MSE Reconstruct Loss 3.7191	 BCE Reconstruct Loss 2.3343	 KL Loss 13.8773----------pretrain Epoch 34:----------
VAE iteration 0 	 ELBO Loss 6.1232 	 MSE Reconstruct Loss 3.7192	 BCE Reconstruct Loss 2.3337	 KL Loss 13.7729----------pretrain Epoch 35:----------
VAE iteration 0 	 ELBO Loss 6.1231 	 MSE Reconstruct Loss 3.7186	 BCE Reconstruct Loss 2.3333	 KL Loss 13.7784----------pretrain Epoch 36:----------
VAE iteration 0 	 ELBO Loss 6.1235 	 MSE Reconstruct Loss 3.7192	 BCE Reconstruct Loss 2.3331	 KL Loss 13.6178----------pretrain Epoch 37:----------
VAE iteration 0 	 ELBO Loss 6.1234 	 MSE Reconstruct Loss 3.7188	 BCE Reconstruct Loss 2.3330	 KL Loss 13.5404----------pretrain Epoch 38:----------
VAE iteration 0 	 ELBO Loss 6.1235 	 MSE Reconstruct Loss 3.7189	 BCE Reconstruct Loss 2.3325	 KL Loss 13.4569----------pretrain Epoch 39:----------
VAE iteration 0 	 ELBO Loss 6.1236 	 MSE Reconstruct Loss 3.7188	 BCE Reconstruct Loss 2.3318	 KL Loss 13.4703----------pretrain Epoch 40:----------
VAE iteration 0 	 ELBO Loss 6.1231 	 MSE Reconstruct Loss 3.7186	 BCE Reconstruct Loss 2.3315	 KL Loss 13.3184----------pretrain Epoch 41:----------
VAE iteration 0 	 ELBO Loss 6.1239 	 MSE Reconstruct Loss 3.7185	 BCE Reconstruct Loss 2.3314	 KL Loss 13.3286----------pretrain Epoch 42:----------
VAE iteration 0 	 ELBO Loss 6.1246 	 MSE Reconstruct Loss 3.7191	 BCE Reconstruct Loss 2.3313	 KL Loss 13.2299----------pretrain Epoch 43:----------
VAE iteration 0 	 ELBO Loss 6.1246 	 MSE Reconstruct Loss 3.7184	 BCE Reconstruct Loss 2.3310	 KL Loss 13.2292----------pretrain Epoch 44:----------
VAE iteration 0 	 ELBO Loss 6.1249 	 MSE Reconstruct Loss 3.7185	 BCE Reconstruct Loss 2.3304	 KL Loss 13.2013----------pretrain Epoch 45:----------
VAE iteration 0 	 ELBO Loss 6.1256 	 MSE Reconstruct Loss 3.7183	 BCE Reconstruct Loss 2.3307	 KL Loss 13.1684----------pretrain Epoch 46:----------
VAE iteration 0 	 ELBO Loss 6.1260 	 MSE Reconstruct Loss 3.7183	 BCE Reconstruct Loss 2.3304	 KL Loss 13.1184----------pretrain Epoch 47:----------
VAE iteration 0 	 ELBO Loss 6.1268 	 MSE Reconstruct Loss 3.7184	 BCE Reconstruct Loss 2.3304	 KL Loss 13.0855----------pretrain Epoch 48:----------
VAE iteration 0 	 ELBO Loss 6.1275 	 MSE Reconstruct Loss 3.7185	 BCE Reconstruct Loss 2.3307	 KL Loss 12.9931----------pretrain Epoch 49:----------
VAE iteration 0 	 ELBO Loss 6.1278 	 MSE Reconstruct Loss 3.7181	 BCE Reconstruct Loss 2.3304	 KL Loss 12.9980----------pretrain Epoch 50:----------
VAE iteration 0 	 ELBO Loss 6.1285 	 MSE Reconstruct Loss 3.7186	 BCE Reconstruct Loss 2.3303	 KL Loss 12.9074----------pretrain Epoch 51:----------
VAE iteration 0 	 ELBO Loss 6.1292 	 MSE Reconstruct Loss 3.7183	 BCE Reconstruct Loss 2.3305	 KL Loss 12.8826----------pretrain Epoch 52:----------
VAE iteration 0 	 ELBO Loss 6.1298 	 MSE Reconstruct Loss 3.7185	 BCE Reconstruct Loss 2.3299	 KL Loss 12.8747----------pretrain Epoch 53:----------
VAE iteration 0 	 ELBO Loss 6.1305 	 MSE Reconstruct Loss 3.7183	 BCE Reconstruct Loss 2.3295	 KL Loss 12.9285----------pretrain Epoch 54:----------
VAE iteration 0 	 ELBO Loss 6.1318 	 MSE Reconstruct Loss 3.7192	 BCE Reconstruct Loss 2.3305	 KL Loss 12.6821----------pretrain Epoch 55:----------
VAE iteration 0 	 ELBO Loss 6.1321 	 MSE Reconstruct Loss 3.7186	 BCE Reconstruct Loss 2.3301	 KL Loss 12.7383----------pretrain Epoch 56:----------
VAE iteration 0 	 ELBO Loss 6.1326 	 MSE Reconstruct Loss 3.7187	 BCE Reconstruct Loss 2.3298	 KL Loss 12.6992----------pretrain Epoch 57:----------
VAE iteration 0 	 ELBO Loss 6.1338 	 MSE Reconstruct Loss 3.7189	 BCE Reconstruct Loss 2.3297	 KL Loss 12.7096----------pretrain Epoch 58:----------
VAE iteration 0 	 ELBO Loss 6.1344 	 MSE Reconstruct Loss 3.7189	 BCE Reconstruct Loss 2.3301	 KL Loss 12.6029----------pretrain Epoch 59:----------
VAE iteration 0 	 ELBO Loss 6.1351 	 MSE Reconstruct Loss 3.7185	 BCE Reconstruct Loss 2.3301	 KL Loss 12.6189----------pretrain Epoch 60:----------
VAE iteration 0 	 ELBO Loss 6.1292 	 MSE Reconstruct Loss 3.7187	 BCE Reconstruct Loss 2.3231	 KL Loss 12.5985----------pretrain Epoch 61:----------
VAE iteration 0 	 ELBO Loss 6.1301 	 MSE Reconstruct Loss 3.7190	 BCE Reconstruct Loss 2.3231	 KL Loss 12.5539----------pretrain Epoch 62:----------
VAE iteration 0 	 ELBO Loss 6.1304 	 MSE Reconstruct Loss 3.7188	 BCE Reconstruct Loss 2.3228	 KL Loss 12.5134----------pretrain Epoch 63:----------
VAE iteration 0 	 ELBO Loss 6.1317 	 MSE Reconstruct Loss 3.7189	 BCE Reconstruct Loss 2.3232	 KL Loss 12.4868----------pretrain Epoch 64:----------
VAE iteration 0 	 ELBO Loss 6.1323 	 MSE Reconstruct Loss 3.7192	 BCE Reconstruct Loss 2.3229	 KL Loss 12.4293----------pretrain Epoch 65:----------
VAE iteration 0 	 ELBO Loss 6.1337 	 MSE Reconstruct Loss 3.7194	 BCE Reconstruct Loss 2.3229	 KL Loss 12.4469----------pretrain Epoch 66:----------
VAE iteration 0 	 ELBO Loss 6.1339 	 MSE Reconstruct Loss 3.7192	 BCE Reconstruct Loss 2.3225	 KL Loss 12.4118----------pretrain Epoch 67:----------
VAE iteration 0 	 ELBO Loss 6.1345 	 MSE Reconstruct Loss 3.7194	 BCE Reconstruct Loss 2.3222	 KL Loss 12.3720----------pretrain Epoch 68:----------
