----------pretrain Epoch 0:----------
VAE iteration 0 	 ELBO Loss 13.4997 	 MSE Reconstruct Loss 12.3745	 BCE Reconstruct Loss 1.0978	 KL Loss 8.1137----------pretrain Epoch 1:----------
VAE iteration 0 	 ELBO Loss 7.2504 	 MSE Reconstruct Loss 6.2016	 BCE Reconstruct Loss 0.8969	 KL Loss 44.5227----------pretrain Epoch 2:----------
VAE iteration 0 	 ELBO Loss 6.9165 	 MSE Reconstruct Loss 5.9104	 BCE Reconstruct Loss 0.8619	 KL Loss 41.7638----------pretrain Epoch 3:----------
VAE iteration 0 	 ELBO Loss 6.7902 	 MSE Reconstruct Loss 5.8296	 BCE Reconstruct Loss 0.8226	 KL Loss 39.4621----------pretrain Epoch 4:----------
VAE iteration 0 	 ELBO Loss 6.7109 	 MSE Reconstruct Loss 5.7858	 BCE Reconstruct Loss 0.7965	 KL Loss 36.3196----------pretrain Epoch 5:----------
VAE iteration 0 	 ELBO Loss 6.6591 	 MSE Reconstruct Loss 5.7580	 BCE Reconstruct Loss 0.7843	 KL Loss 32.5737----------pretrain Epoch 6:----------
VAE iteration 0 	 ELBO Loss 6.6225 	 MSE Reconstruct Loss 5.7403	 BCE Reconstruct Loss 0.7759	 KL Loss 29.2865----------pretrain Epoch 7:----------
VAE iteration 0 	 ELBO Loss 6.5934 	 MSE Reconstruct Loss 5.7283	 BCE Reconstruct Loss 0.7660	 KL Loss 26.9643----------pretrain Epoch 8:----------
VAE iteration 0 	 ELBO Loss 6.5742 	 MSE Reconstruct Loss 5.7190	 BCE Reconstruct Loss 0.7620	 KL Loss 25.0586----------pretrain Epoch 9:----------
VAE iteration 0 	 ELBO Loss 6.5620 	 MSE Reconstruct Loss 5.7129	 BCE Reconstruct Loss 0.7592	 KL Loss 23.8416----------pretrain Epoch 10:----------
VAE iteration 0 	 ELBO Loss 6.5535 	 MSE Reconstruct Loss 5.7084	 BCE Reconstruct Loss 0.7573	 KL Loss 23.0007----------pretrain Epoch 11:----------
VAE iteration 0 	 ELBO Loss 6.5469 	 MSE Reconstruct Loss 5.7050	 BCE Reconstruct Loss 0.7558	 KL Loss 22.2746----------pretrain Epoch 12:----------
VAE iteration 0 	 ELBO Loss 6.5414 	 MSE Reconstruct Loss 5.7023	 BCE Reconstruct Loss 0.7546	 KL Loss 21.5891----------pretrain Epoch 13:----------
VAE iteration 0 	 ELBO Loss 6.5361 	 MSE Reconstruct Loss 5.6995	 BCE Reconstruct Loss 0.7536	 KL Loss 20.9593----------pretrain Epoch 14:----------
VAE iteration 0 	 ELBO Loss 6.5322 	 MSE Reconstruct Loss 5.6975	 BCE Reconstruct Loss 0.7525	 KL Loss 20.4961----------pretrain Epoch 15:----------
VAE iteration 0 	 ELBO Loss 6.5283 	 MSE Reconstruct Loss 5.6953	 BCE Reconstruct Loss 0.7512	 KL Loss 20.1625----------pretrain Epoch 16:----------
VAE iteration 0 	 ELBO Loss 6.5250 	 MSE Reconstruct Loss 5.6937	 BCE Reconstruct Loss 0.7495	 KL Loss 19.9124----------pretrain Epoch 17:----------
VAE iteration 0 	 ELBO Loss 6.5221 	 MSE Reconstruct Loss 5.6920	 BCE Reconstruct Loss 0.7482	 KL Loss 19.6906----------pretrain Epoch 18:----------
VAE iteration 0 	 ELBO Loss 6.5196 	 MSE Reconstruct Loss 5.6904	 BCE Reconstruct Loss 0.7472	 KL Loss 19.4751----------pretrain Epoch 19:----------
VAE iteration 0 	 ELBO Loss 6.5177 	 MSE Reconstruct Loss 5.6892	 BCE Reconstruct Loss 0.7464	 KL Loss 19.2668----------pretrain Epoch 20:----------
VAE iteration 0 	 ELBO Loss 6.5158 	 MSE Reconstruct Loss 5.6879	 BCE Reconstruct Loss 0.7458	 KL Loss 19.0493----------pretrain Epoch 21:----------
VAE iteration 0 	 ELBO Loss 6.5143 	 MSE Reconstruct Loss 5.6869	 BCE Reconstruct Loss 0.7452	 KL Loss 18.8385----------pretrain Epoch 22:----------
VAE iteration 0 	 ELBO Loss 6.5128 	 MSE Reconstruct Loss 5.6858	 BCE Reconstruct Loss 0.7447	 KL Loss 18.6194----------pretrain Epoch 23:----------
