----------pretrain Epoch 0:----------
VAE iteration 0 	 ELBO Loss 12.5763 	 MSE Reconstruct Loss 5.2374	 BCE Reconstruct Loss 7.3102	 KL Loss 8.5309----------pretrain Epoch 1:----------
VAE iteration 0 	 ELBO Loss 6.9378 	 MSE Reconstruct Loss 2.2281	 BCE Reconstruct Loss 4.6409	 KL Loss 20.1517----------pretrain Epoch 2:----------
VAE iteration 0 	 ELBO Loss 6.8216 	 MSE Reconstruct Loss 2.2114	 BCE Reconstruct Loss 4.5470	 KL Loss 18.2837----------pretrain Epoch 3:----------
VAE iteration 0 	 ELBO Loss 6.7742 	 MSE Reconstruct Loss 2.2002	 BCE Reconstruct Loss 4.5125	 KL Loss 17.5740----------pretrain Epoch 4:----------
VAE iteration 0 	 ELBO Loss 6.7469 	 MSE Reconstruct Loss 2.1944	 BCE Reconstruct Loss 4.4918	 KL Loss 17.1208----------pretrain Epoch 5:----------
VAE iteration 0 	 ELBO Loss 6.7208 	 MSE Reconstruct Loss 2.1897	 BCE Reconstruct Loss 4.4715	 KL Loss 16.6262----------pretrain Epoch 6:----------
VAE iteration 0 	 ELBO Loss 6.7044 	 MSE Reconstruct Loss 2.1845	 BCE Reconstruct Loss 4.4618	 KL Loss 15.9997----------pretrain Epoch 7:----------
VAE iteration 0 	 ELBO Loss 6.6925 	 MSE Reconstruct Loss 2.1813	 BCE Reconstruct Loss 4.4553	 KL Loss 15.1959----------pretrain Epoch 8:----------
VAE iteration 0 	 ELBO Loss 6.6809 	 MSE Reconstruct Loss 2.1771	 BCE Reconstruct Loss 4.4502	 KL Loss 14.4219----------pretrain Epoch 9:----------
VAE iteration 0 	 ELBO Loss 6.6718 	 MSE Reconstruct Loss 2.1739	 BCE Reconstruct Loss 4.4464	 KL Loss 13.6714----------pretrain Epoch 10:----------
VAE iteration 0 	 ELBO Loss 6.6636 	 MSE Reconstruct Loss 2.1717	 BCE Reconstruct Loss 4.4420	 KL Loss 13.0717----------pretrain Epoch 11:----------
VAE iteration 0 	 ELBO Loss 6.6574 	 MSE Reconstruct Loss 2.1699	 BCE Reconstruct Loss 4.4390	 KL Loss 12.5579----------pretrain Epoch 12:----------
VAE iteration 0 	 ELBO Loss 6.6515 	 MSE Reconstruct Loss 2.1689	 BCE Reconstruct Loss 4.4352	 KL Loss 12.1137----------pretrain Epoch 13:----------
