,XGB,RF,SVM,avg
Origin,0.8548353099337386,0.8469513662571585,0.2927821744627086,0.6648562835512019
CTGAN,0.7064495636068573,0.7149784613850635,0.5446419249586695,0.65535664998353
Selgan,0.7532141573126793,0.7674696818158437,0.38245813125995815,0.6343806567961604
octgan,0.562498811309215,0.5979805063034598,0.26759122815691966,0.4760235152565315
tablegan,0.5775146212022408,0.5901661095702141,0.6083248531507793,0.5920018613077448
VAE,0.745115685448516,0.7836652301773565,0.20703075103573315,0.5786038888872019
