,XGB,RF,SVM,avg
Origin,0.8543785935426802,0.8470809376382131,0.3746130030959752,0.6920241780922894
CTGAN,0.7055506413091552,0.7147279964617426,0.6754754533392304,0.6985846970367094
Selgan,0.7474568774878373,0.761499336576736,0.42016806722689076,0.6430414270971546
octgan,0.566452896948253,0.612671384343211,0.3606811145510836,0.5132684652808491
tablegan,0.5706545776205219,0.5813799203892083,0.6105705440070766,0.5875350140056023
VAE,0.736952675807165,0.7780849181777975,0.34221583370190184,0.6190844758956214
